image,caractéristique,classe
1396-891-0021.png,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]",1
2349-875-0004.png,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]",1
674-1494-0012.png,"[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 3 0 1 0 1 0 2 0 1 0 0 0 0 0 0 0 2 0 0 0 0
 0 0 1 0 0 0 1 0 0 0 0 0 0]",1
589-4137-1-03.png,"[ 48  61  42  70  57  47  53  77  52  48  38  79  44  90  49  78  90  46
  64  49 103  53  68  36  54  66  45  54  40  57  68  51  81  46  53  48
  86  62  33  44  52  68  47  45  54  99  36  51  25  77]",1
2715-1510-0027.png,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]",1
1336-263-0015.png,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]",1
2112-594-0003.png,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]",1
369-14650-1-305.png,"[0 0 1 0 1 1 0 2 2 0 0 0 0 0 0 0 0 0 0 0 3 1 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1
 0 1 0 1 3 0 0 0 1 0 0 0 0]",1
1480-1539-0001.png,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]",1
1740-839-0018.png,"[0 0 2 0 0 0 1 0 1 0 0 2 1 1 2 0 0 0 1 2 2 1 0 1 1 2 0 2 0 0 0 1 0 1 2 4 0
 1 1 1 2 2 0 0 2 2 1 2 0 1]",1
521-1043-0021.png,"[46  7 11 16 11 12 14 11 11 11 13  7 11 14 10  8 23  6  9 20  8 14 17 19
 14  8 21 17 17 24 16  8  6  5  5 15 20 17 11 13 10 10 10 10 11 11  8 12
 13 10]",1
765-254-0014.png,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 3]",1
1586-829-0013.png,"[15  4 19  7  2  4  2 10  4  6  9  3  5  9  9  3  9  1  3  8  7  3  4  8
  3  1 13  9  0  7  6  6  8  6  3  5  6  5  2  8  5  4  8  4  7  4  3  5
  5  8]",1
